id,name,spec,unit,price,brand,discount,inventory,expiration_data,product_location
574,有机营口大米,5公斤/袋 塑料彩包,袋,59.0,鹏昊牌营口大米,1.0,45,2027-05-02,A
575,2kg洛娃多功能低泡洗衣液,塑料袋、液体、2kg,袋,25.8,洛娃,1.0,23,2027-04-11,E
576,水分润唇膏 蜜桃 5.2g,5.2g,支,33.0,近江蔓莎,0.9,27,2026-10-14,C
577,品客薯片酸乳酪洋葱味40克,40G,袋,5.9,品客,1.0,46,2027-05-12,F
578,氨基酸口服液,1盒,盒,80.0,国林,1.0,22,2027-09-30,F
579,金富士炒王口味炒米160克,160g,包,28.8,炒王,1.0,43,2026-10-20,G
580,美肌娜清爽保湿乳液120g,140,支,158.0,无,1.0,42,2026-11-26,G
581,豆沙粽（速冻熟制）,100克*5只,袋,17.9,五芳斋,1.0,28,2027-09-25,F
582,情人梅,粒状，塑料罐装,瓶,7.5,同享,1.0,40,2026-11-08,E
583,糟方乳腐,500克/瓶,瓶,6.0,新通王牌,1.0,21,2027-09-06,H
584,摩卡上选咖啡奶精,-,罐,29.5,摩卡,1.0,22,2026-11-22,C
585,鑫山阿胶枣,300克*40袋,袋,5.2,鑫山,1.0,49,2026-09-18,E
586,康师傅泡椒牛肉桶面,109g/109g,桶,3.5,康师傅,0.9,47,2027-05-20,A
587,古今文胸,-,个,70.0,潇然,1.0,35,2027-04-19,E
588,帮宝适干爽健康大包装大码52片送6片绿帮,58CT,包,75.0,帮宝适,0.9,35,2027-05-27,F
589,黄豆酿造酱油1000ml,1000ml,瓶,7.5,北和,1.0,24,2027-08-29,E
590,科罗娜特级啤酒4.6度 330ml / 瓶,330;4.6;ml;啤酒;特级;瓶,瓶,59.0,科罗娜特级,1.0,27,2027-04-21,A
591,男仕内裤,M,盒,27.0,健将,1.0,47,2026-10-15,A
592,家酿米酒,0.6L,瓶,7.2,申德,1.0,31,2027-03-22,A
593,不二家棒棒糖,125克*5袋*8袋,袋,15.0,不二家,1.0,23,2026-11-30,D
594,七匹狼棉加厚休闲男袜,针织品,双,12.0,七匹狼,0.9,21,2026-11-16,H
595,果香沐浴露,117025,瓶,28.0,调皮宝,1.0,28,2027-06-19,C
596,古今专柜,-,件,33.0,潇然,1.0,48,2027-04-08,C
597,"""重庆""高级皂",280克/块,盒,12.4,重庆,1.0,38,2027-08-16,D
598,音箱A5,A5,盒,34.4,飚雷,1.0,48,2027-01-21,A
599,顺昌9383水果菜板,37.5*25.5CM,个,10.9,顺昌,1.0,20,2027-01-25,F
600,爱仕达电磁炉适用铸铁炒锅JX8430E,30,只,90.0,爱仕达,1.0,31,2027-07-06,C
601,潘婷丝质顺滑750ML优惠装,750ml/瓶,瓶,39.9,潘婷,1.0,35,2027-01-10,E
602,女士内裤,M,条,18.9,爱莎,0.7,35,2027-04-07,D
603,真空红枣粽散装,240克,袋,4.5,双合成,1.0,32,2027-08-08,G
604,大富豪金麦芽8度,瓶装500ml,瓶,8.4,大富豪,1.0,41,2027-06-24,A
605,瞬盈翘密睫毛膏,9.2g,支,79.0,美宝莲,1.0,35,2027-03-04,H
606,阿胶枣,每袋300g,袋,4.8,鑫然,1.0,30,2027-01-31,H
607,日美剪刀 型号：RM5004,折边装,把,6.8,金达日美,1.0,26,2026-09-06,E
608,弹力棉拼色印字男三角裤(混色),L,盒,18.9,Pepsi/百事,1.0,26,2026-10-18,E
609,橄榄精萃去屑洗发露,XK16—108 8373,瓶,48.0,黛维莉,1.0,40,2027-09-20,H
610,佳韵垃圾袋JY314135cm*45cm*30只,-,袋,13.2,佳韵,1.0,43,2026-09-09,A
611,劲火腿,240g,袋,15.0,雨润,1.0,30,2026-10-18,D
612,丹姿水密码洁肤晶露125g,125g,瓶,44.0,丹姿,1.0,36,2026-12-15,F
613,掌阅 iReader Light,R6003白色,只,858.0,iReader,1.0,41,2026-10-26,H
614,倍力乐天然胶乳水溶性安全套白领专用,52±2mm,盒,30.0,倍力乐,1.0,29,2027-05-29,B
615,亚麻鞋垫,36,双,7.6,王小二,1.0,27,2026-12-15,E
616,康师傅 鲜脆雪笋 炒肉丝面127g,桶装,桶,4.0,康师傅,1.0,37,2027-05-02,F
617,羔羊肉片,300g,袋,18.3,蒙羊,1.0,37,2027-05-12,E
618,威尼熊T恤,均码,件,170.0,AFJ/安吉小羊,1.0,34,2026-11-24,H
619,品客虎年吉祥大礼包,330G,袋,33.8,品客,1.0,32,2027-01-25,A
620,通用中性笔,子弹头 0.5mm  &Oslash;1,支,0.9,comix齐心,1.0,40,2027-03-08,E
621,180g盼盼领先番茄,500g,包,66.0,盼盼,1.0,31,2027-07-10,H
622,长康加铁酿造酱油,200ML,瓶,3.5,长康,0.9,47,2027-04-19,G
623,汽车杯300ml,300ml,个,34.4,茂盛,1.0,44,2027-03-15,E
624,肉汁味香逗干,100g,包,4.5,祖名,0.9,25,2027-01-11,G
625,香薰精油修护蜜,250毫升,瓶,16.96,丹蔻丽,1.0,32,2027-09-09,B
626,500ml诗涛桂花空气清新剂,130,瓶,28.8,无,1.0,35,2027-06-02,C
627,53%vol 外瓷汾,375mL*12瓶,瓶,55.0,杏花村,1.0,40,2027-03-30,B
628,男仕内裤,M,条,47.9,健将,1.0,25,2027-04-21,H
629,酒中酒霸（十年陈）,52%vol、500ml、浓香型,瓶,49.8,本强,1.0,20,2027-01-13,E
630,艾美特电磁炉CE2065,纸箱,台,808.0,艾美特,0.9,46,2027-03-05,F
631,宏月圆型皂盒00010,T00010,个,200.0,宏月,1.0,38,2027-01-05,D
632,王小二苣麻吸汗鞋垫,36,双,6.9,王小二,1.0,26,2026-11-28,D
633,洁柔面子古龙香盒装抽取式面巾纸 150抽*2层,包,组,7.0,洁柔,1.0,41,2027-04-18,E
634,古今潇然B杯彩棉文,-,个,20.0,潇然,1.0,38,2027-08-29,D
635,蓝月亮彩漂1200g,1.2kg,瓶,22.5,蓝月亮,1.0,41,2027-05-26,G
636,姥山680g糖水什锦罐头,680g*12瓶,瓶,10.6,姥山,0.8,46,2027-06-14,E
637,七匹狼休闲男袜,针织品,双,10.9,七匹狼,1.0,47,2027-07-06,B
638,一杯奶特,243ml*6盒,箱,24.0,蒙牛,1.0,37,2027-08-31,B
639,52度海之蓝礼盒,480ml*2,盒,388.0,洋河蓝色经典,1.0,47,2026-11-12,B
640,古今专柜,-,件,33.0,潇然,1.0,50,2027-04-25,G
641,得力3151活页记事本(混)-100页-8in(本),采用优质皮革精工制作,本,33.3,得力,1.0,36,2026-11-09,E
642,QQ星儿童三角奶酪-草莓,140g,盒,15.0,伊利,0.9,46,2027-08-18,F
643,美味肉丝,20g,袋,1.9,黔五福,1.0,27,2027-09-06,B
644,大力士擦窗器,1823,把,13.5,新悦,1.0,46,2027-02-28,A
645,洋河精装蓝色世家46度500ml盒,1*6,瓶,138.0,洋河精装蓝色世家46度500ml盒,1.0,34,2027-02-16,D
646,品客薯片(原味120克+香辣味40克),120g,组,5.0,品客,1.0,32,2027-05-25,B
647,尿素霜,50g,瓶,15.0,中亚,1.0,21,2027-09-03,C
648,56克核桃酥,56克,包,0.9,格尔,1.0,35,2026-11-11,C
649,头牌糖水黄桃罐头,1200g,瓶,19.8,头牌,0.8,20,2027-04-18,D
650,双灯卫生纸,0,包,1.2,双灯,0.9,38,2027-01-29,G
651,工艺拖鞋KL8066/0459,240mm,双,5.0,快鹿,1.0,24,2026-12-18,H
652,不锈钢汤盆24CM,24CM,只,11.8,粤光,1.0,41,2026-09-05,F
653,光明儿童健能草莓味发酵乳优酪乳100g*6杯,100g×6,组,16.5,光明,1.0,38,2026-10-22,D
654,米旗全麦吐司,350g,袋,7.8,米旗,1.0,21,2027-07-01,E
655,奶特 意式咖啡牛奶,243ml*12,箱,58.8,蒙牛,0.8,30,2026-09-14,C
656,方杯,1,只,4.5,江盛,1.0,42,2026-09-05,A
657,潇然A杯文胸,-,个,20.0,潇然,1.0,45,2027-08-08,E
658,39度杏花村福酒,475ml,瓶,296.0,杏花村,1.0,24,2026-09-05,A
659,42度对开国缘酒,箱,瓶,287.0,今世缘.国缘,1.0,39,2026-10-06,B
660,超威电热蚊香液<艾草清香型>40毫升X2瓶,40毫升X2瓶,套,25.0,超威,1.0,30,2027-06-19,H
661,A3，20袋A3资料册,"A3,20袋",本,45.5,comix齐心,1.0,50,2027-06-17,A
662,潇然女士内裤,-,条,16.0,潇然,0.8,50,2027-09-14,C
663,优质真皮鞋垫,36,双,6.9,王小二,1.0,21,2027-05-01,D
664,拉芳丝蛋白垂坠顺滑洗发水,400ml,瓶,27.0,拉芳,1.0,47,2026-11-25,D
665,旺润泡面伙伴火腿肠30g*8,袋,袋,5.2,旺润,1.0,47,2027-09-22,C
666,统一100酱拌面XO酱海鲜风味袋面,114g,包,2.1,统一100,1.0,29,2026-10-17,F
667,古今潇然A杯文,-,个,20.0,潇然,1.0,37,2027-06-11,C
668,红枣牛奶,200ml*18/每件,箱,27.0,蒙牛,1.0,21,2026-12-04,E
669,化妆品,普通,瓶,16.8,无,1.0,40,2026-11-17,F
670,绿箭原味薄荷味,12瓶/盒,瓶,23.0,绿箭,1.0,41,2027-03-22,F
671,浪莎精品棉男袜,精品,双,7.8,浪莎,1.0,41,2026-12-04,A
672,健而爽平角棉男士内裤,120盒/箱,盒,16.9,健而爽,1.0,24,2026-10-16,F
673,金华火腿,2500g,盒,218.0,圣味食品,1.0,47,2027-08-11,G
674,活性营养啫喱水（弹性定型）,200ml/200ml,瓶,14.8,拉芳,1.0,46,2027-08-17,G
675,拉芳去屑养护洗发露套装400ml,400ml,套,31.8,拉芳,1.0,50,2026-12-20,G
676,葡萄干,200g,袋,19.8,恒香,1.0,42,2026-09-20,G
677,和田玉枣三级红枣500g/袋,500g,包,58.0,和田玉枣,1.0,36,2027-04-21,B
678,卡玫尔激情沐浴露400毫升,400ML/瓶,瓶,19.9,卡玫尔,1.0,27,2027-04-25,A
679,乌毡帽冻藏冰雕,480*6,瓶,35.9,乌毡帽,1.0,23,2027-02-04,E
680,120克植元素柔白控油洁面乳,120g,瓶,36.0,无,1.0,39,2027-01-01,B
681,蝶安芬柔弹棉小平脚女裤1352/盒,1352,盒,30.9,蝶安芬,1.0,50,2026-12-27,F
682,玉兔鲜火腿肠(常温~火腿肠~不分)5473_180克,-,袋,3.0,玉兔,1.0,37,2027-01-16,B
683,黄金蛋卷,500克   铁盒,袋,20.8,双合成,1.0,26,2027-02-22,G
684,金鹿杀蟑气雾剂,600ml,瓶,19.8,金鹿,1.0,34,2027-04-13,C
685,得力E5505公文袋(混)(只),A4/横式按扣文件袋,个,1.32,得力,1.0,40,2027-04-19,B
686,品客装原味+葱味双罐优惠装,1套,组,35.0,品客,1.0,41,2027-08-11,C
687,正林咸干花生 800克/袋,800g,袋,10.4,正林,1.0,31,2026-12-14,D
688,醒润 瞬盈柔肤水,120ml,支,69.0,美宝莲,1.0,24,2027-07-01,H
689,中性笔,FGP61503,支,6.9,M&G晨光,0.9,25,2027-05-02,D
690,木棒棉签,75mm长日用棉签。木棒,盒,3.0,得惠,0.9,22,2027-05-08,H
691,古今专柜,-,件,33.0,潇然,1.0,43,2027-05-27,C
692,30g金美肤堂三重美白保湿霜,140,盒,139.0,无,1.0,43,2026-10-17,H
693,正阳河酱油,350ml,袋,3.0,正阳河,1.0,33,2027-03-03,B
694,豆奶饮品,250ml,支,2.0,祖名,1.0,47,2026-11-04,E
695,旺润王中王火腿肠 400g,40g*10/40g*10,袋,11.4,旺润,1.0,37,2027-01-24,A
696,红双喜3005型球拍*12删,12;3005;球拍;红双喜,副,129.0,DHS/红双喜,1.0,20,2027-08-24,D
697,得力6209软尺30cm(混)(只),No.6209；30cm；混色；1只,把,4.8,得力文具,1.0,31,2027-05-21,F
698,兴瑞香烤鱿鱼丝40g,40g,袋,6.0,兴瑞,1.0,20,2026-12-04,G
699,太平桥豆豉,200g,包,3.0,太平桥,0.9,26,2027-03-15,H
700,洋槐蜂蜜,500g玻璃瓶,瓶,38.9,恒亮,1.0,32,2027-02-07,H
701,女士内裤,L,盒,19.0,爱莎,1.0,43,2026-12-06,B
702,雨妃首乌去屑止痒洗发露,750ml,瓶,12.8,雨妃,1.0,21,2026-11-17,H
703,200g一点美纳米级黑珍珠粉,140,袋,4.0,无,0.9,42,2027-06-11,A
704,五月花豪华手柄式保温瓶WRM-1900 1900ml,WRM-1900/个,只,82.5,五月花,1.0,50,2027-03-05,A
705,香味蛭石挂包,1Pcs/件,包,5.9,京萃,1.0,31,2027-05-09,D
706,风味豆豉,210g,瓶,8.1,恒谊,1.0,23,2027-09-04,B
707,0863男合装三重保暖,-,盒,439.0,金依狐,0.9,28,2026-09-11,F
708,健而爽平角棉男士内裤,120盒/箱,盒,26.9,健而爽,1.0,45,2027-07-12,C
709,好时之吻扁桃仁牛奶巧克力36g,36g,袋,8.8,好时之吻,1.0,26,2027-08-17,D
710,25g美肤堂祛鱼尾纹眼霜,140,瓶,159.0,无,1.0,44,2027-04-02,C
711,完美秀发养护组合优惠装（垂坠顺滑）,400ml+500ml+90g,套,29.9,拉芳,1.0,22,2027-03-30,D
712,天禧酥花生米110克,110g,袋,10.8,天禧,1.0,42,2027-03-22,A
713,得力27201电子防盗保险箱(黑色),1032501,卡,218.9,得力,1.0,26,2027-03-11,E
714,邦逸女士纯棉内衣3203,-,套,39.8,红豆,0.8,49,2027-02-07,D
715,净白无暇两用粉饼,7g,支,58.0,色彩地带,1.0,46,2027-04-17,C
716,佳洁士双效炫白牙膏180克7折装,180G,盒,8.5,佳洁士,1.0,28,2027-07-28,F
717,3公升快洁洗衣液抗菌(黄色),3000ml/瓶,支,55.0,快洁,1.0,31,2027-08-29,F
718,天山雪 天原生态 纯牛奶 250ml,250ml,盒,6.27,天山雪,0.8,33,2027-01-10,F
719,袜子,均码,双,51.0,浪莎,1.0,48,2026-09-15,D
720,特选珍珠米,5千克,袋,40.0,香满园,1.0,22,2026-11-16,C
721,帮宝适超薄干爽中号100片送10片特级棉柔,110CT,包,149.0,帮宝适,1.0,38,2027-03-25,H
722,配餐金火腿,260g/袋,盒,13.8,双汇,1.0,28,2027-07-03,D
723,爱丽丝避孕套,70/28/125,盒,13.5,爱丽丝,1.0,33,2026-10-10,H
724,修复矿物泥浆面膜,100g,支,16.8,自然坊,1.0,49,2027-05-03,C
725,植物呵护洗手液500g+300g,500克,瓶,39.0,滴露,1.0,24,2027-09-21,B
726,华亚真空商务杯28号,350ml,只,79.0,华亚,1.0,38,2026-11-11,A
727,茅台迎宾酒（嘉宾特制）,375ml×2,盒,348.0,茅台迎宾,0.9,30,2027-04-18,G
728,诚信火腿400G,80g,个,6.8,爱新觉罗祖家坊,1.0,26,2027-03-18,F
729,拉芳滋润修护啫喱膏,248ml,瓶,22.6,拉芳,1.0,24,2026-11-13,G
730,腊土鸡,500,袋,39.8,唐人神,1.0,37,2026-09-05,F
731,口水娃烤肉味兰花豆,30克,袋,1.0,口水娃,0.9,44,2027-04-18,B
732,阿旺绿茶瓜子,-,袋,20.0,旺迪,1.0,49,2027-09-23,E
733,苹果牌健儿宝宝奶瓶,01A04,个,11.0,苹果,1.0,50,2027-03-06,C
734,800G月皇山牌牛奶加钙核桃粉,800G,袋,29.8,月皇山,1.0,45,2026-09-24,A
735,不二家(4支装)果味棒棒糖25g*128,25g/盒,袋,3.0,不二家,1.0,46,2026-10-15,B
736,七匹狼_袜,针织品,双,9.9,七匹狼,1.0,30,2027-06-06,D
737,美国护肤甘油,90ml,瓶,3.0,中亚,1.0,43,2027-06-22,E
738,熏衣草舒缓净肤沐浴露,140,瓶,98.0,无,0.9,34,2027-05-30,H
739,古今少女胸衣,-,个,89.9,潇然,1.0,36,2026-10-28,E
740,英堡钻石糖(葡萄~卡通造型~塑料袋)10240_10克,10g,袋,1.5,玩趣,1.0,44,2027-07-19,F
741,康王袋装浇切片,-,袋,8.8,康王,0.9,31,2027-04-03,D
742,小肥羊精制羊肉片400g,320g/320g,袋,52.0,小肥羊,1.0,22,2027-03-06,A
743,天然胶乳橡胶避孕套,12只,盒,48.0,杜蕾斯,1.0,29,2026-09-10,E
744,北京二锅头酒52度磨砂,500ml,瓶,25.0,举世峰,1.0,32,2027-01-14,D
745,雨洁深度去屑洗发露200ml,200ml/200ml,瓶,17.9,雨洁,1.0,22,2026-10-22,E
746,HI优果粒酸牛奶饮品（蔓越莓+草莓）,250ml*12,箱,40.0,光明,1.0,35,2027-04-18,H
747,双汇火腿肠,32g,个,0.5,双汇,1.0,36,2027-02-01,B
748,拉芳旅行套装四件套（80ml去屑洗﹢80ml柔肤沐+40g牙膏+牙刷）,洗发露80ml+沐浴露80ml+牙膏40,瓶,13.9,拉芳,1.0,29,2027-06-10,A
749,特级初榨橄榄油,700mL,瓶,79.0,鲁花,1.0,30,2027-05-19,G
750,沙城长城珍藏版木盒干红,750ML,盒,499.0,长城,1.0,39,2026-11-24,H
751,中性笔,中性笔,支,1.0,comix齐心,1.0,24,2027-09-11,G
752,矿物水感亲肤散粉 5.5g,5.5g,盒,69.0,美宝莲,1.0,23,2027-06-04,H
753,40度今世缘淡雅国缘,箱,瓶,172.7,今世缘.国缘,1.0,46,2027-02-15,A
754,虹一喜蛋,65g×50,袋,15.0,虹一,1.0,34,2027-04-17,G
755,旺润王中王火腿肠,80克,支,2.8,旺润,1.0,47,2027-01-09,D
756,麻辣海带丝,62g/袋,袋,1.0,川南,1.0,49,2027-05-02,H
757,牛皮工艺线环,A6-100P,本,5.1,金茂,1.0,43,2027-08-25,B
758,蛋奶星星谷物早餐月亮2x150g,2x150g,盒,40.0,脆谷乐,1.0,25,2027-01-01,D
759,世达PVC足球SB5165,5号足球,只,76.9,star,1.0,37,2027-03-27,A
760,原味鲜牛奶,200毫升/袋,袋,2.5,雪宝,1.0,43,2026-09-25,F
761,得力多功能复印纸7750（70gA4）,No.7750；70g；A4,扎,26.4,得力文具,1.0,44,2026-09-15,E
762,得力7737百事贴(混)76*76mm(包),随心粘贴、轻松剥离，,本,2.5,得力,1.0,23,2027-01-10,F
763,华湖 华湖方型密封微波冷藏盒 H115,115;冷藏盒;密封;方型,个,5.5,华湖,1.0,40,2027-06-10,D
764,牙线牙签,75mm长牙线牙签。塑料制。,盒,5.1,得惠,1.0,37,2026-09-18,F
765,花布工艺拖KL8067/0459,240mm,双,5.0,快鹿,0.8,46,2027-05-24,D
766,玉兰油多效超值礼盒TE1001,1套,盒,117.0,玉兰油,1.0,45,2027-03-28,H
767,鲜果橙（康果2L）,2L,瓶,8.2,康师傅,0.9,42,2027-06-25,E
768,杀蟑气雾剂D型(杀菌型),600毫升,瓶,21.0,山峰,1.0,29,2027-01-31,H
769,亮狮固色亮发啫喱水,500ml,支,27.0,亮狮固色亮发啫喱水,1.0,42,2027-01-20,B
770,裕湘贵宾面 500g/支,500g,支,4.5,裕湘,0.9,42,2027-02-12,F
771,玉蝶牌常州特产五香萝卜干大礼盒,100克*8袋,盒,35.0,玉蝶,0.9,30,2026-10-01,G
772,38°经典纯净,500ML*4,瓶,99.0,桂花牌,0.7,34,2027-02-17,B
773,三鲜火锅汤料,188g,袋,7.8,联席,1.0,49,2027-02-07,D
774,新茶雪芽100g,-,袋,169.0,正泰,1.0,24,2027-02-21,C
775,26-28黑色00604七匹狼休闲男袜,针织品,双,11.9,七匹狼,0.8,25,2027-05-08,G
776,品客薯片观影礼盒,220G,盒,23.6,品客,1.0,20,2027-02-04,E
777,金锣清真鸡肉肠,315g（35g*9支装）,袋,5.5,金锣,1.0,25,2027-02-12,E
778,油炸辣子,210g,瓶,7.0,恒谊,1.0,31,2027-04-02,B
779,品客薯片烧烤牛排味,110g/罐,桶,8.9,品客,1.0,22,2027-05-14,C
780,联华文具 胶套本,文具,本,11.5,LEnWA/联华,1.0,34,2026-11-12,G
781,真空悠品杯 HB-500A-8,HB-500A-8,只,95.0,HAERS,1.0,29,2027-07-11,D
782,蕾迪丝瞬吸贴身干爽夜用卫生巾,A29051  290mm*5片/包,包,3.5,蕾迪丝,1.0,24,2027-01-03,E
783,邦思特 中性笔 0.5mm,0.5;0.5mm;mm;中性笔,支,0.8,邦思特,1.0,38,2026-09-12,B
784,水感透白全能防晒礼盒,均码,组,449.0,玉兰油,1.0,38,2027-04-14,D
785,经典礼盒,1080g,盒,198.0,杏花楼,1.0,24,2026-11-12,C
786,610花12鱼盘,140,只,2.3,无,1.0,29,2027-08-21,E
787,阿胶枣,300克,袋,4.0,金九月,0.9,49,2027-03-24,B
788,苍蝇拍,10*10*40,个,2.7,美欣,0.9,21,2027-06-18,E
789,欧拉迪氨基酸洁面乳,洁面乳,支,28.0,Olady/欧拉迪,1.0,34,2027-02-03,E
790,珍品矿物泥浆面膜,100g,支,12.6,自然坊,1.0,42,2027-05-06,D
791,46度洋河大曲（天蓝）,500ml,瓶,75.0,洋河大曲,0.9,38,2026-09-18,F
792,食全食美红油腐乳240g,240g,瓶,6.0,食全食美,1.0,30,2027-08-23,E
793,天喔纸衣核桃,230克,袋,45.0,天喔,1.0,32,2026-09-25,C
794,胶水200G,-,瓶,3.2,兴达,0.9,32,2027-09-22,E
795,45度驻马店四号,瓶,瓶,70.88,四特酒,1.0,22,2027-08-11,A
796,王中皇0426不锈智能电压锅4L800W,0,个,8.0,王中皇,1.0,38,2027-09-20,B
797,纯棉鞋垫,36,双,7.9,王小二,1.0,38,2026-11-12,E
798,恒辉加深鼎盖,140,个,18.9,无,1.0,39,2026-12-02,C
799,早餐饼干,1000g/盒,盒,11.9,阔达,1.0,31,2027-09-08,H
800,501康而怡女内衣,0,件,249.0,无,1.0,31,2027-03-19,C
801,家之良品(丽姿源)泉之素柔润保湿乳液9220_100毫升,100ml,瓶,17.0,Home’s Brands/家之良品,1.0,37,2027-09-11,F
802,人人家900G多维牛奶高钙营养麦片(加送28G),900G,袋,22.5,人人家,1.0,40,2026-11-08,B
803,佳韵金属钢丝球JY3357(五个装),-,袋,6.9,佳韵,1.0,33,2027-09-14,B
804,吉祥鸟110抽盒装面纸4盒装110抽每盒，每拎4盒,110抽每盒，每拎4盒,盒,14.8,吉祥鸟,1.0,28,2027-04-08,F
805,4B美术橡皮200A,0,块,1.8,comix齐心,1.0,50,2027-08-01,E
806,长鼻王(大恩)青葱苏打饼干(苏打、梳打~青葱)32455_168克168g,168g,袋,6.9,长鼻王,1.0,20,2027-02-16,C
807,146g Kisses 好时之吻 黑巧克力,146g,袋,27.9,KISSES好时之吻,1.0,42,2026-10-19,F
808,佳韵神奇抹布JY3408,-,块,8.6,佳韵,0.9,44,2026-10-14,E
809,会稽山水香红国色五年陈酒,500ml,瓶,11.4,会稽山,1.0,24,2026-09-17,C
810,120*38金时3+3精华长枕,140,个,28.9,无,1.0,50,2027-06-13,A
811,杉杉 男全竹纤维套装7916 3XL,3xl;7916;全;套装;男;竹纤维,双,498.9,Firs/杉杉,1.0,43,2027-06-17,C
812,1.9L红烧老抽王,1.9L,桶,14.9,加加,1.0,33,2027-09-20,F
813,汰渍净白去渍洗衣粉柠檬清新1.55KG折扣装,1.55KG,袋,13.8,汰渍,1.0,31,2027-09-25,H
814,香格里拉万家月饼780G 780G/盒,780;780g;g ;盒,盒,23.0,万家,1.0,46,2026-09-10,G
815,味全活性乳酸菌 草莓味 435ml,435ml/瓶,瓶,8.25,味全,1.0,42,2027-05-12,C
816,古龙肉香豆豉 227g,玻璃瓶,罐,9.0,古龙,1.0,25,2026-11-21,D
817,慕纱特浓草莓夹心巧克力,60g,盒,15.8,格力高,1.0,34,2027-03-04,D
818,名士威洋槐蜂蜜礼盒1.2千克,1.2千克,盒,76.8,名士威,1.0,41,2027-02-01,H
819,电热蚊香器(无线)1只,1只,只,27.2,山峰,1.0,30,2026-12-04,B
820,阿旺多味花生,-,袋,13.9,旺迪,1.0,47,2026-09-22,F
821,微电脑电磁炉,CR,台,298.0,容声牌,0.9,41,2027-02-25,B
822,42度六福人家蓝标顺喝,115mm*100mm*260mm,瓶,19.9,六福人家,1.0,31,2026-11-27,D
823,圆小金海马保健酒,（120mlx10瓶）x4盒,瓶,5.5,椰马牌,1.0,27,2026-09-14,G
824,鲜橙多+冰红茶,2000ml*2,组,12.8,统一冰红茶,1.0,46,2026-09-26,A
825,康师傅酸菜牛肉面,组合袋,袋,12.3,康师傅,1.0,38,2027-01-20,B
826,佳韵无指桑拿手套JY3189,-,双,7.5,佳韵,1.0,21,2027-02-23,B
827,笋丝雪菜,180g,袋,2.3,杨庙,0.9,26,2027-05-22,C
828,辣子鸡,210g,瓶,7.2,恒谊,1.0,38,2027-04-25,D
829,竹炭凹凸枕,40cmx60cm,双,40.8,卖炭翁,0.9,44,2026-09-02,C
830,传化508g冷水速洁洗衣粉,508克,袋,4.44,传化,1.0,27,2027-08-23,D
831,振汉休闲男袜,26,双,13.9,振汉,1.0,50,2027-07-28,E
832,RJC SHM+CN (400+200)ML FRH AD+SMTH FC,1套,瓶,16.9,飘柔,0.8,46,2026-12-06,G
833,天诣儿童雨衣TY/N109,N8109,包,29.9,人间天堂,0.9,34,2027-02-28,B
834,瑞观楼腐竹228克,228克,包,11.0,瑞观楼,1.0,39,2026-10-22,C
835,干红葡萄酒,750ml,瓶,20.0,恩赐,1.0,45,2027-08-26,F
836,水晶胶原唇膏精莹系列R33,1.9g,支,69.0,美宝莲,1.0,43,2027-09-14,A
837,808g天鹏加钙营养麦片（袋）,天鹏,袋,18.5,天鹏,1.0,44,2026-10-10,F
838,军医生复合能量晶莹亮颜乳液,100ml,瓶,56.9,军医生,1.0,46,2027-01-05,E
839,得力9597学生套尺(套),No.9597；蓝色；1套,套,3.52,得力文具,1.0,21,2027-03-25,A
840,美白泥浆面膜,100g,支,12.6,自然坊,1.0,29,2027-07-13,D
841,QQ星儿童成长奶酪—草莓味,20g*4杯/盒,盒,9.9,伊利,1.0,49,2026-12-06,D
842,长城红愿干红,750ML,瓶,48.0,长城,1.0,26,2027-09-14,E
843,想念龙须面,7.7*24*2.5,卷,2.5,想念,1.0,40,2026-11-01,C
844,小护士卫生巾干爽网面12片装,5+5+2片/包,包,6.0,小护士,1.0,30,2026-12-17,B
845,江西宜春特产 龙牙牌龙牙百合粉,480克礼盒装,盒,25.9,龙牙,0.9,29,2027-02-18,H
846,下饭菜,300g,袋,8.7,恒谊,0.8,44,2026-12-13,D
847,水晶3D胶原唇膏 401,1.9g,支,69.0,美宝莲,0.7,39,2026-09-05,F
848,多菲角（巧克力）75g,75g,个,4.2,宾堡,1.0,26,2027-03-10,A
849,古今专柜,-,件,33.0,潇然,1.0,41,2027-08-26,C
850,红豆水晶袜,-,包,5.5,红豆,1.0,48,2026-12-30,B
851,茶瓜子,110g,袋,5.7,金瑞,1.0,30,2027-04-24,A
852,倍舒特怡悦清爽棉日用/10片,8*30,包,7.9,倍舒特,1.0,42,2027-07-07,D
853,农夫棉男士内裤,盒,盒,12.3,农夫棉,1.0,48,2027-05-05,C
854,纸棒棉签,75mm长日用棉签。纸棒,盒,7.6,得惠,1.0,20,2027-06-02,B
855,发酵型酸牛奶,180g/袋,袋,2.5,雪宝,1.0,50,2027-02-03,G
856,王子爱美迷你纸巾,130,包,22.5,无,1.0,35,2026-11-28,F
857,红豆HD349优雅恋歌单人枕套,0,条,25.0,红豆家纺,0.9,49,2027-06-25,A
858,纳爱斯牙膏(齿清海洋) 净含量165g 防蛀固齿、健康牙龈 洁白牙齿  清新口气、维护牙龈健康,165g/165g,支,18.6,纳爱斯,1.0,38,2026-12-09,H
859,搖搖樂薯条（番茄味）,45克,包,3.5,盼盼,1.0,36,2026-10-30,C
860,盼盼搖搖乐薯条（蒜香排骨味）,45克,包,3.5,盼盼,1.0,29,2027-09-03,E
